id,prompt
601,"Write a Python function to capitalize only the last letter of each word in a sentence."
602,"Write a Python script to count how many unique digits are in a number."
603,"Write a Python function to create a dictionary where keys are list items and values are their lengths."
604,"Write a Python script to remove all empty dictionaries from a list."
605,"Write a Python function to count the total number of lowercase and uppercase letters in a string."
606,"Write a Python script to remove all strings from a list that are shorter than 3 characters."
607,"Write a Python function to create a string from every second character in a given string."
608,"Write a Python script to check if two strings are reverses of each other."
609,"Write a Python function to reverse a tuple."
610,"Write a Python script to calculate the number of days between two given dates."
611,"Write a Python function to convert a string into a list of ASCII values and back."
612,"Write a Python script to get the common elements from two sets."
613,"Write a Python function to compute the square of each odd number in a list."
614,"Write a Python script to count the frequency of words in a paragraph."
615,"Write a Python function to test if a number is a perfect cube."
616,"Write a Python script to create a list of multiples of 9 up to 100."
617,"Write a Python function to calculate the sum of all digits across all numbers in a list."
618,"Write a Python script to remove all punctuation from a sentence."
619,"Write a Python function to return a sorted version of a string's characters."
620,"Write a Python script to check if two lists are disjoint."
621,"Write a Python function to replace every vowel in a string with its position index."
622,"Write a Python script to double the characters in a string using a loop."
623,"Write a Python function to count the number of lowercase vowels in each word of a sentence."
624,"Write a Python script to create a dictionary from a string where letters are keys and values are their counts."
625,"Write a Python function to filter out non-integer elements from a mixed list."
626,"Write a Python script to print characters of a string in alternating order starting from both ends."
627,"Write a Python function to split a list into even and odd indexed elements."
628,"Write a Python script to flatten a dictionary with nested dictionaries."
629,"Write a Python function to remove the first and last element from a list."
630,"Write a Python script to create a mirrored version of a string (e.g. 'abc' → 'abccba')."
631,"Write a Python function to compute the average word length in a sentence."
632,"Write a Python script to return the top 3 highest numbers in a list without sorting."
633,"Write a Python function to find all substrings of a given string."
634,"Write a Python script to rotate digits of a number to the left."
635,"Write a Python function to extract all alphabetic substrings from a string."
636,"Write a Python script to replace each vowel in a string with the next vowel."
637,"Write a Python function to get the most frequent word in a sentence."
638,"Write a Python script to check if a number is the sum of two squares."
639,"Write a Python function to count all numeric substrings in a string."
640,"Write a Python script to convert a flat list into a list of tuples of two elements each."
641,"Write a Python function to find all elements in a list that appear more than once."
642,"Write a Python script to remove all dictionary entries with empty values."
643,"Write a Python function to alternate characters between upper and lower case."
644,"Write a Python script to test if a string contains at least one digit and one letter."
645,"Write a Python function to find the product of all positive numbers in a list."
646,"Write a Python script to check whether a given number is a strong number."
647,"Write a Python function to truncate every string in a list to its first 3 characters."
648,"Write a Python script to pad a number with leading zeros until it's 5 digits long."
649,"Write a Python function to get the longest string in a list."
650,"Write a Python script to test if a list has strictly decreasing values."
651,"Write a Python function to count the number of trailing zeros in a number."
652,"Write a Python script to calculate the sum of diagonal elements in a square matrix."
653,"Write a Python function to determine if a list contains any palindromic strings."
654,"Write a Python script to check if a string contains duplicate words."
655,"Write a Python function to remove every nth item from a list."
656,"Write a Python script to filter out falsy values from a list."
657,"Write a Python function to convert a string into a zig-zag pattern and return the flattened version."
658,"Write a Python script to check if a string contains equal numbers of vowels and consonants."
659,"Write a Python function to check if the characters in a string form a valid ASCII sequence."
660,"Write a Python script to find all indices of a character in a string."
661,"Write a Python function to return the number of digits in an integer using math only."
662,"Write a Python script to extract the longest contiguous sequence of letters in a string."
663,"Write a Python function to rotate elements in a list based on their index."
664,"Write a Python script to insert a delimiter between every two characters in a string."
665,"Write a Python function to test if all strings in a list are the same length."
666,"Write a Python script to count the number of substrings of length 3 in a string."
667,"Write a Python function to repeat the contents of a list n times using recursion."
668,"Write a Python script to remove every vowel from a list of strings."
669,"Write a Python function to split a sentence into words and return only those with even length."
670,"Write a Python script to return the intersection of three lists."
671,"Write a Python function to determine if a string has alternating vowels and consonants."
672,"Write a Python script to sum all numbers found between commas in a string."
673,"Write a Python function to check if a number is equal to the sum of the factorials of its digits."
674,"Write a Python script to return the last non-space character in a string."
675,"Write a Python function to group all identical elements in a list together."
676,"Write a Python script to check if all characters in a string are unique using no data structures."
677,"Write a Python function to compress a string using run-length encoding."
678,"Write a Python script to replace spaces in a string with the next character alphabetically."
679,"Write a Python function to generate all two-letter combinations from a list of characters."
680,"Write a Python script to reverse every other word in a sentence."
681,"Write a Python function to determine if two strings are one swap away from each other."
682,"Write a Python script to find the number of times a substring appears in a string using only slicing."
683,"Write a Python function to determine if a string is a rotated palindrome."
684,"Write a Python script to return the list of tuples for each character and its index in a string."
685,"Write a Python function to reverse the vowels in a string."
686,"Write a Python script to remove all vowels from a list of strings."
687,"Write a Python function to split a number into chunks of two digits."
688,"Write a Python script to pad a string with '*' until its length is a multiple of 4."
689,"Write a Python function to test whether the sum of a number’s digits is divisible by 9."
690,"Write a Python script to count total punctuation marks in a list of strings."
691,"Write a Python function to remove all whitespace from a list of strings."
692,"Write a Python script to check whether all characters in a string are lowercase."
693,"Write a Python function to sort a list of strings by their last letter."
694,"Write a Python script to return a list of strings sorted by length and then alphabetically."
695,"Write a Python function to return all substrings of a string that are palindromes."
696,"Write a Python script to compare the frequency of letters in two strings."
697,"Write a Python function to convert a list of integers to their English word form."
698,"Write a Python script to return the character that occurs the fewest times in a string."
699,"Write a Python function to reverse each number in a list of integers."
700,"Write a Python script to determine if two strings are isomorphic."

