id,prompt
1801,"Explain how to remove spaces from the start and end of a string."
1802,"Explain how to return True if all elements in a list are unique."
1803,"Explain how to create a list of all uppercase letters from a string."
1804,"Explain how to sort a dictionary by keys."
1805,"Explain how to capitalize only the first and last words in a sentence."
1806,"Explain how to count how many times each word appears in a list of sentences."
1807,"Explain how to filter out all `None` values from a list."
1808,"Explain how to check if a given string is in title case."
1809,"Explain how to generate a list of all odd numbers between 10 and 100."
1810,"Explain how to reverse a string using slicing."
1811,"Explain how to check if a word contains all vowels."
1812,"Explain how to extract all characters in a string that appear more than once."
1813,"Explain how to remove every second item from a list."
1814,"Explain how to replace digits in a string with their word equivalents."
1815,"Explain how to convert a string to lowercase without using `lower()`."
1816,"Explain how to add up the values of a list without using `sum()`."
1817,"Explain how to return the word in a sentence with the highest number of consonants."
1818,"Explain how to generate a list of random letters."
1819,"Explain how to split a sentence into a list of words using `split()`."
1820,"Explain how to remove punctuation from the beginning and end of words."
1821,"Explain how to sort a list of strings by the last letter."
1822,"Explain how to convert a character to its ASCII code."
1823,"Explain how to check if a character is a digit using `isdigit()`."
1824,"Explain how to flatten a list of tuples into a single list."
1825,"Explain how to return the last word of a sentence."
1826,"Explain how to group words in a list by their first character."
1827,"Explain how to convert a list of strings to a single string with a space separator."
1828,"Explain how to test if all characters in a string are the same."
1829,"Explain how to extract all uppercase letters from a sentence."
1830,"Explain how to create a dictionary that maps words to their lengths."
1831,"Explain how to find the number of vowels in each word in a list."
1832,"Explain how to detect duplicate words in a sentence."
1833,"Explain how to get the third character of each word in a list."
1834,"Explain how to identify all characters that appear only once in a string."
1835,"Explain how to return the string length without using `len()`."
1836,"Explain how to reverse a tuple."
1837,"Explain how to join a list of numbers into a single string."
1838,"Explain how to capitalize every vowel in a string."
1839,"Explain how to return the first repeated letter in a string."
1840,"Explain how to count how many times each digit appears in a number."
1841,"Explain how to filter out all uppercase words from a sentence."
1842,"Explain how to remove items from a list that are shorter than 4 characters."
1843,"Explain how to convert a list of numbers to floats."
1844,"Explain how to create a string that alternates between uppercase and lowercase."
1845,"Explain how to replace all instances of the letter 'a' with '@'."
1846,"Explain how to find the longest number in a list of strings."
1847,"Explain how to test if a string contains both letters and numbers."
1848,"Explain how to format a number with commas as thousands separators."
1849,"Explain how to find the index of the second occurrence of a character in a string."
1850,"Explain how to remove trailing zeros from a number."
1851,"Explain how to convert a string of numbers into a list of integers."
1852,"Explain how to find the total number of lowercase vowels in a paragraph."
1853,"Explain how to extract every third character from a string."
1854,"Explain how to replace all consonants in a word with '#'."
1855,"Explain how to reverse the digits in a number using arithmetic."
1856,"Explain how to check if a string is alphabetic without using `isalpha()`."
1857,"Explain how to return the last digit of each number in a list."
1858,"Explain how to remove duplicate digits from a number."
1859,"Explain how to convert a single string of comma-separated words into a list."
1860,"Explain how to test if a number is a palindrome without using strings."
1861,"Explain how to return the most frequent vowel in a sentence."
1862,"Explain how to return a list of booleans indicating if each number in a list is even."
1863,"Explain how to replace numbers in a list with their square roots."
1864,"Explain how to replace all non-vowel letters in a string with dashes."
1865,"Explain how to sort a list of integers as strings by their length."
1866,"Explain how to determine if a word has alternating cases."
1867,"Explain how to reverse a string using a for loop."
1868,"Explain how to check if all characters in a list are lowercase."
1869,"Explain how to count the number of capital letters in a string."
1870,"Explain how to extract only the numbers that are multiples of 3 from a list."
1871,"Explain how to format each word in a sentence to start with a capital and end with a period."
1872,"Explain how to check if the sum of two digits equals the third in a 3-digit number."
1873,"Explain how to return the sum of digits in a number using recursion."
1874,"Explain how to check if a string contains any repeated characters."
1875,"Explain how to extract a list of words that start and end with a vowel."
1876,"Explain how to format a date string into DD-MM-YYYY format."
1877,"Explain how to count the number of alphabetic characters in a string."
1878,"Explain how to detect whether a list contains nested lists."
1879,"Explain how to check if a character appears at the same index in two strings."
1880,"Explain how to return the number of unique characters in a word."
1881,"Explain how to extract the first letter of each word in a sentence."
1882,"Explain how to check if a list of numbers is sorted."
1883,"Explain how to convert a list of integers into a string of digits."
1884,"Explain how to group words that share the same ending letter."
1885,"Explain how to determine if a list has duplicate numbers."
1886,"Explain how to reverse a dictionary’s keys and values."
1887,"Explain how to round all numbers in a list to the nearest 10."
1888,"Explain how to return all the letters in a string that are in even positions."
1889,"Explain how to create a list of strings of length 5 from a longer list."
1890,"Explain how to count how many words in a list start with 'th'."
1891,"Explain how to extract all characters from a string that are not letters."
1892,"Explain how to replace all uppercase letters in a word with lowercase except the first."
1893,"Explain how to create a function that returns the number of lines in a string."
1894,"Explain how to detect if a sentence contains only unique words."
1895,"Explain how to format an integer to show as binary with leading zeroes."
1896,"Explain how to find the second digit from the right in a number."
1897,"Explain how to test if a list of strings contains any duplicates."
1898,"Explain how to extract all two-digit numbers from a string."
1899,"Explain how to build a new list with every other item in reverse."
1900,"Explain how to return a list of string lengths sorted in descending order."

