id,prompt
1401,"Explain how to determine if a number is a palindrome using math."
1402,"Explain how to generate a list of square numbers using a loop."
1403,"Explain how to print a triangle of stars with increasing length."
1404,"Explain how to use the `divmod()` function and what it returns."
1405,"Explain how to extract digits from an integer using a loop."
1406,"Explain how to convert a number to octal manually."
1407,"Explain how to count how many times each digit appears in a number."
1408,"Explain how to remove all duplicate digits from a number."
1409,"Explain how to sum only the digits at even positions in a number."
1410,"Explain how to alternate between two characters in a looped pattern."
1411,"Explain how to replace all digits in a string with their squares."
1412,"Explain how to count letters, digits, and symbols separately in a string."
1413,"Explain how to test whether a number is a power of 2."
1414,"Explain how to calculate the sum of factorials of all digits in a number."
1415,"Explain how to print a numeric pyramid using nested loops."
1416,"Explain how to create a countdown timer using a loop."
1417,"Explain how to display a live updating progress bar using `print()` and `time.sleep()`."
1418,"Explain how to detect palindromes in a list of strings."
1419,"Explain how to use `any()` to test if any value in a list is true."
1420,"Explain how to use `all()` to confirm that all items in a list meet a condition."
1421,"Explain how to extract every third character from a string."
1422,"Explain how to find common elements in three lists without using sets."
1423,"Explain how to zip two strings together character by character."
1424,"Explain how to calculate the average word length in a sentence."
1425,"Explain how to build a dictionary that maps letters to their positions in a string."
1426,"Explain how to find all substrings of a string that contain only vowels."
1427,"Explain how to test if a list contains only unique values."
1428,"Explain how to check if a word is a substring of another word."
1429,"Explain how to sort a list of strings ignoring case."
1430,"Explain how to convert a list of characters into a sentence with proper spacing."
1431,"Explain how to print only the boundary characters of a string."
1432,"Explain how to count how many times each character appears in a sentence."
1433,"Explain how to reverse a list without using built-in methods."
1434,"Explain how to remove the shortest word from a sentence."
1435,"Explain how to convert a number to its digit sum repeatedly until one digit remains."
1436,"Explain how to group strings by their lengths using a dictionary."
1437,"Explain how to reverse the words in a sentence without reversing the characters."
1438,"Explain how to capitalize the last letter of each word in a sentence."
1439,"Explain how to find the most frequent digit in a string of numbers."
1440,"Explain how to slice a list in reverse with a step of 2."
1441,"Explain how to find which character has the highest ASCII value in a string."
1442,"Explain how to test if all elements in a list are even."
1443,"Explain how to replace the vowels in a string with numbers."
1444,"Explain how to create a string by removing all digits from a given sentence."
1445,"Explain how to check if a list is symmetrical around its center."
1446,"Explain how to print only alternate characters from the end of a string."
1447,"Explain how to create a dictionary of words grouped by their first letter."
1448,"Explain how to round every float in a list to the nearest integer."
1449,"Explain how to find the length of the longest word in a list."
1450,"Explain how to remove all non-letter characters from a string."
1451,"Explain how to identify if a number contains all even digits."
1452,"Explain how to check whether a string ends in a digit."
1453,"Explain how to extract all numeric substrings from a string."
1454,"Explain how to convert a list of binary strings to integers."
1455,"Explain how to print each digit of a number on a separate line."
1456,"Explain how to check whether a number is divisible by the product of its digits."
1457,"Explain how to group a string into pairs of two characters each."
1458,"Explain how to pad a number with leading zeros to make it 5 digits long."
1459,"Explain how to print a letter pyramid using a loop."
1460,"Explain how to remove trailing punctuation from words in a sentence."
1461,"Explain how to determine if a character is a letter using ASCII ranges."
1462,"Explain how to build a new string skipping every second vowel."
1463,"Explain how to center text output with padding characters other than space."
1464,"Explain how to find the longest sequence of digits in a mixed string."
1465,"Explain how to test whether a string has more digits than letters."
1466,"Explain how to alternate between two entire lists item by item."
1467,"Explain how to remove punctuation from the end of each word in a list."
1468,"Explain how to generate all pairs of elements from a list."
1469,"Explain how to get the last vowel in a string using reverse iteration."
1470,"Explain how to create a string from every even-positioned character in a list of strings."
1471,"Explain how to find the sum of characters at even indices in a string."
1472,"Explain how to alternate between uppercase and lowercase words in a sentence."
1473,"Explain how to extract all words in a sentence that contain at least one digit."
1474,"Explain how to check if a number is divisible by the sum of its odd digits."
1475,"Explain how to test whether a sentence uses all 26 letters of the alphabet."
1476,"Explain how to compare two strings and count the characters that are different."
1477,"Explain how to convert each word in a list to its reversed uppercase form."
1478,"Explain how to return the number of punctuation marks in a list of sentences."
1479,"Explain how to find the longest common suffix between two strings."
1480,"Explain how to build a dictionary that counts how often each word appears in a paragraph."
1481,"Explain how to determine whether a number contains the same digits as another number."
1482,"Explain how to strip a string of all leading numbers."
1483,"Explain how to use slicing to extract the center of a string."
1484,"Explain how to convert a list of tuples into a dictionary."
1485,"Explain how to determine if one list is the reverse of another."
1486,"Explain how to convert a number to its Roman numeral representation."
1487,"Explain how to capitalize the middle character of each word in a sentence."
1488,"Explain how to return a dictionary with only the items whose values are even numbers."
1489,"Explain how to return a string with only the unique characters from a list of strings."
1490,"Explain how to generate a checkerboard-style pattern using characters."
1491,"Explain how to test if a number is equal to the sum of its proper divisors."
1492,"Explain how to format output so that list items print one per line with a bullet point."
1493,"Explain how to test whether the digits of a number are in ascending order."
1494,"Explain how to sort a string by frequency of its characters."
1495,"Explain how to compute the product of all digits in a string."
1496,"Explain how to test if a list is made only of palindromes."
1497,"Explain how to replace the last digit of a number with a zero."
1498,"Explain how to count how many strings in a list are all uppercase."
1499,"Explain how to return a list of integers that are palindromes and divisible by 3."
1500,"Explain how to detect repeating character sequences in a string."

