id,prompt
1901,"Explain how to return the index of the first vowel in a string."
1902,"Explain how to sort a list of strings by their second character."
1903,"Explain how to check if two words share any common letters."
1904,"Explain how to convert a string of binary digits to a list of integers."
1905,"Explain how to find all letters in a string that appear more than twice."
1906,"Explain how to replace each space in a string with a random letter."
1907,"Explain how to return the average length of words in a sentence."
1908,"Explain how to count how many times a substring appears in a string."
1909,"Explain how to return all strings in a list that are palindromes."
1910,"Explain how to remove all capital vowels from a string."
1911,"Explain how to check if a number is divisible by all its digits."
1912,"Explain how to convert a list of booleans to a binary string."
1913,"Explain how to return all characters that are digits in a given string."
1914,"Explain how to calculate the product of all digits in a number."
1915,"Explain how to rotate a list to the left by one position."
1916,"Explain how to test if all letters in a word are vowels."
1917,"Explain how to replace each vowel in a string with the number of times it appears."
1918,"Explain how to create a string of the alphabet using a loop."
1919,"Explain how to extract all the words in a sentence that end in 'ing'."
1920,"Explain how to determine if a list of integers is a palindrome."
1921,"Explain how to return the middle character of a word."
1922,"Explain how to sort a list of numbers but move all 0s to the end."
1923,"Explain how to count how many lowercase letters appear after an uppercase letter in a string."
1924,"Explain how to remove all non-ASCII characters from a string."
1925,"Explain how to reverse the digits of an integer using math only."
1926,"Explain how to test if a list contains only one unique value."
1927,"Explain how to check if every letter in a string is alphabetically consecutive."
1928,"Explain how to identify which number occurs most frequently in a list."
1929,"Explain how to convert each number in a list to its square if it's odd."
1930,"Explain how to extract words from a sentence that contain both letters and numbers."
1931,"Explain how to format a string to center-align its contents within 20 characters."
1932,"Explain how to detect if a string contains three or more identical letters in a row."
1933,"Explain how to create a list of characters that are not repeated in a string."
1934,"Explain how to return only the last two digits of a number."
1935,"Explain how to count how many strings in a list start with a vowel."
1936,"Explain how to generate all two-letter combinations of vowels."
1937,"Explain how to find the sum of numbers that are not divisible by 2 or 3."
1938,"Explain how to replace all characters in a string with a dash except the first and last."
1939,"Explain how to return the smallest number that appears more than once in a list."
1940,"Explain how to check if all strings in a list have the same length."
1941,"Explain how to count how many digits appear an odd number of times in a number."
1942,"Explain how to generate a list of 100 random lowercase letters."
1943,"Explain how to return a list of indices where a specific value appears."
1944,"Explain how to test if a string alternates between vowels and consonants."
1945,"Explain how to convert a list of characters into an alternating upper-lower string."
1946,"Explain how to find the character with the lowest ASCII value in a string."
1947,"Explain how to check if a string is a valid hexadecimal number."
1948,"Explain how to remove all numbers that appear more than twice in a list."
1949,"Explain how to return the first number in a list that is divisible by 7."
1950,"Explain how to find the smallest odd number in a list."
1951,"Explain how to capitalize the last letter of every word in a sentence."
1952,"Explain how to generate all three-letter palindromes from a given alphabet."
1953,"Explain how to extract all odd-indexed digits from a number."
1954,"Explain how to remove the character at a specific index in a string."
1955,"Explain how to return a new list containing the last character of each string in a list."
1956,"Explain how to count the number of consecutive repeating characters in a string."
1957,"Explain how to round all float numbers in a list to the nearest integer."
1958,"Explain how to reverse only the vowels in a string."
1959,"Explain how to convert a string to a list of Unicode values."
1960,"Explain how to find the word with the most vowels in a list."
1961,"Explain how to return a new string that repeats each character twice."
1962,"Explain how to test if a string contains more digits than letters."
1963,"Explain how to return a list of all consonants from a sentence."
1964,"Explain how to calculate the average of a list of numbers rounded to 2 decimal places."
1965,"Explain how to build a string that contains only the first and last letters of each word."
1966,"Explain how to generate all 2-digit even numbers using digits 1 through 9."
1967,"Explain how to find the position of the first capital letter in a string."
1968,"Explain how to remove all items in a list that contain more than one vowel."
1969,"Explain how to return all three-digit palindromes in a given list."
1970,"Explain how to replace every third letter in a string with an exclamation mark."
1971,"Explain how to detect if a string contains two of the same character back-to-back."
1972,"Explain how to generate a dictionary of characters and their positions in a string."
1973,"Explain how to convert all letters in a string to the letter following them in the alphabet."
1974,"Explain how to test whether a number contains a digit more than once."
1975,"Explain how to return the number of even digits in a number."
1976,"Explain how to filter out all numbers less than 100 from a list."
1977,"Explain how to count the number of uppercase vowels in a string."
1978,"Explain how to find the word in a list that starts and ends with the same character."
1979,"Explain how to split a string into substrings of 3 characters each."
1980,"Explain how to convert a string into a dictionary of letter frequencies."
1981,"Explain how to remove all special characters from a string."
1982,"Explain how to create a list of characters that occur exactly twice."
1983,"Explain how to extract digits from a string and return them as an integer."
1984,"Explain how to return a list of strings from a list that contain the letter 'x'."
1985,"Explain how to replace every consonant in a string with the next consonant."
1986,"Explain how to convert a number into a list of its digits."
1987,"Explain how to return all characters in a string that appear in alphabetical order."
1988,"Explain how to count the number of punctuation symbols in a sentence."
1989,"Explain how to check if a string ends in a digit without using `isdigit()`."
1990,"Explain how to test if a number contains only unique digits."
1991,"Explain how to replace the first vowel in a word with a capital letter."
1992,"Explain how to find the length of the longest consecutive number sequence in a list."
1993,"Explain how to extract words that are longer than 10 characters from a paragraph."
1994,"Explain how to generate a list of letters between two characters."
1995,"Explain how to reverse all words in a sentence but not the sentence order."
1996,"Explain how to format a string to look like a title page heading."
1997,"Explain how to count all characters in a list that are not letters."
1998,"Explain how to identify the second-most frequent word in a list."
1999,"Explain how to pad all strings in a list to be exactly 10 characters long."
2000,"Explain how to test if a number is a multiple of the sum of its digits."

