id,prompt
1301,"Explain the difference between using `input()` and hardcoded values in Python."
1302,"Explain how to use the `max()` function with a custom key."
1303,"Explain how to check if all characters in a string are alphabetic using `isalpha()`."
1304,"Explain how Python handles integer division versus float division."
1305,"Explain how to test whether a character is a vowel or consonant."
1306,"Explain how to reverse a number using math operations."
1307,"Explain what the `abs()` function does in Python."
1308,"Explain how to find the largest digit in an integer."
1309,"Explain how to calculate the sum of digits of a number using a loop."
1310,"Explain what happens if you slice a string beyond its length."
1311,"Explain how to test if a string is a valid number before converting it."
1312,"Explain how to create a multiplication table using nested loops."
1313,"Explain how to convert a number to binary without using `bin()`."
1314,"Explain how to test whether a number is a perfect square."
1315,"Explain how to find the common characters between two strings."
1316,"Explain how to count how many words in a sentence start with a specific letter."
1317,"Explain how to center text using string formatting in Python."
1318,"Explain how to create a pattern using nested loops and `print()`."
1319,"Explain how to check if two strings are anagrams."
1320,"Explain how to find the factorial of a number using a `for` loop."
1321,"Explain how to find the LCM of two numbers using a loop."
1322,"Explain how to convert hours and minutes into total seconds in Python."
1323,"Explain how to test whether a string contains only whitespace characters."
1324,"Explain the difference between `isupper()` and `islower()`."
1325,"Explain how to extract only numbers from a mixed string using a loop."
1326,"Explain how to manually count occurrences of a character in a string."
1327,"Explain how to build a new string by removing specific characters."
1328,"Explain how to detect a repeated pattern in a string."
1329,"Explain how to capitalize the first letter of each word without using `title()`."
1330,"Explain how to determine the second largest number in a list."
1331,"Explain how to remove all `None` values from a list."
1332,"Explain how to use `sorted()` with a lambda to sort by the last letter."
1333,"Explain how to get the middle character of a string."
1334,"Explain how to use slicing to reverse a list."
1335,"Explain how to find the number of digits in an integer without converting it to a string."
1336,"Explain the difference between `list()` and using square brackets to create a list."
1337,"Explain how to zip three lists into a list of tuples."
1338,"Explain what happens if you modify a list while iterating over it."
1339,"Explain how to sort a list of strings by length."
1340,"Explain how to check whether a list is sorted."
1341,"Explain how to replace all instances of a value in a list with another value."
1342,"Explain how to flatten a list of tuples into a single list."
1343,"Explain how to count how many strings in a list contain only vowels."
1344,"Explain how to create a list of even numbers using list comprehension."
1345,"Explain how to remove all falsy values from a list."
1346,"Explain how to use a list of keys to build a dictionary with default values."
1347,"Explain how to generate a random number using the `random` module."
1348,"Explain how to shuffle the elements of a list."
1349,"Explain how to seed the random number generator in Python."
1350,"Explain how to create a delay in your program using the `time` module."
1351,"Explain how to measure the execution time of a block of code."
1352,"Explain how to format a float with commas as thousand separators."
1353,"Explain how to create a right-aligned column of numbers using string formatting."
1354,"Explain how to convert a list of strings to integers using a loop."
1355,"Explain how to extract the domain name from an email address using slicing."
1356,"Explain how to test whether two lists have the same elements regardless of order."
1357,"Explain how to remove punctuation from all strings in a list."
1358,"Explain how to group words by their first letter using a dictionary."
1359,"Explain how to sort a list of dictionaries by a specific key."
1360,"Explain how to use `setdefault()` to group values in a dictionary."
1361,"Explain how to reverse the keys and values in a dictionary."
1362,"Explain how to merge two dictionaries using dictionary unpacking."
1363,"Explain how to remove a key from a dictionary only if it exists."
1364,"Explain how to initialize a dictionary with default values using `fromkeys()`."
1365,"Explain how to count characters in a string using a dictionary."
1366,"Explain how to create a dictionary from a list of key-value tuples."
1367,"Explain how to sort dictionary items by key or value."
1368,"Explain how to remove all whitespace characters from a string."
1369,"Explain how to count the number of words in a string."
1370,"Explain how to split a string into a list of sentences."
1371,"Explain how to convert a sentence into a list of ASCII values."
1372,"Explain how to return the most frequent word in a sentence."
1373,"Explain how to find all capital letters in a string using a loop."
1374,"Explain how to compare two strings and return their common prefix."
1375,"Explain how to alternate case in a string starting with uppercase."
1376,"Explain how to swap the case of each character in a string."
1377,"Explain how to test whether a string has balanced parentheses."
1378,"Explain how to convert a list of words into a hyphen-separated string."
1379,"Explain how to detect duplicate words in a sentence."
1380,"Explain how to find the longest palindromic substring in a string."
1381,"Explain how to convert a comma-separated string to a list of integers."
1382,"Explain how to check if all items in a list are strings."
1383,"Explain how to capitalize only the last letter of each word."
1384,"Explain how to filter a list of strings by a specific prefix."
1385,"Explain how to create a matrix using a list of lists."
1386,"Explain how to print a matrix row by row using nested loops."
1387,"Explain how to transpose a matrix manually using loops."
1388,"Explain how to reverse each row in a 2D list."
1389,"Explain how to sum the diagonal of a square matrix."
1390,"Explain how to flatten a 2D list using list comprehension."
1391,"Explain how to generate a checkerboard pattern using loops."
1392,"Explain how to create a list of digits from a number using math."
1393,"Explain how to find the sum of even digits in a number."
1394,"Explain how to detect repeated digits in an integer."
1395,"Explain how to find the maximum digit in a number without converting to string."
1396,"Explain how to check if a number is an Armstrong number."
1397,"Explain how to convert a binary string to an integer manually."
1398,"Explain how to create a function that checks for prime numbers."
1399,"Explain how to generate the first `n` prime numbers."
1400,"Explain how to count how many prime digits are in a number."

