id,prompt,response
401,Write a Python function to print all multiples of 4 from 1 to 100.,"def multiples_of_4(): print([i for i in range(1,101) if i%4==0])"
402,Write a Python script to check if a given word is a substring of another.,"def is_substring(word, text): return word in text"
403,Write a Python function to sum only the odd numbers in a list.,def sum_odds(lst): return sum(x for x in lst if x%2)
404,Write a Python script to compare lengths of two strings and return the longer one.,"def longer_str(a,b): return a if len(a)>len(b) else b"
405,Write a Python function to remove every third character from a string.,"def remove_third(s): return ''.join(c for i,c in enumerate(s) if (i+1)%3!=0)"
406,Write a Python script to generate a list of all square numbers less than 100.,"def squares(): return [i**2 for i in range(1,10)]"
407,Write a Python function to count the number of lowercase letters in a string.,def count_lowercase(s): return sum(1 for c in s if c.islower())
408,Write a Python script to repeat a character 'n' times and print the result.,"def repeat_char(c,n): print(c*n)"
409,Write a Python function to find all characters that appear more than once in a string.,def repeated_chars(s): return list({c for c in s if s.count(c) > 1})
410,Write a Python script to convert a string to an acronym.,def to_acronym(s): return ''.join(word[0].upper() for word in s.split())
411,Write a Python function to print numbers from 1 to n without using a loop.,def print_1_to_n(n): return n and print_1_to_n(n-1) or print(n)
412,Write a Python script to reverse every word in a sentence while keeping their order.,def reverse_words(s): return ' '.join(w[::-1] for w in s.split())
413,Write a Python function to get a dictionary from a list where elements are keys with their index as value.,"def list_to_dict(lst): return {v:i for i,v in enumerate(lst)}"
414,Write a Python script to merge multiple lists into one and remove duplicates.,"def merge_unique(*lists): return list(set(sum(lists, [])))"
415,Write a Python function to check if a sentence contains all letters of the alphabet.,def is_pangram(s): import string; return set(string.ascii_lowercase) <= set(s.lower())
416,Write a Python script to capitalize letters at even positions in a string.,"def cap_even_pos(s): return ''.join(c.upper() if i%2==0 else c for i,c in enumerate(s))"
417,Write a Python function to remove all symbols except letters and numbers from a string.,"import re; def clean_string(s): return re.sub(r'[^a-zA-Z0-9]', '', s)"
418,Write a Python script to check if a string ends with a specific suffix.,"def ends_with(s,suffix): return s.endswith(suffix)"
419,Write a Python function to convert a list of tuples into a dictionary.,def tuples_to_dict(t): return dict(t)
420,Write a Python script to get the Unicode code point of a character.,def unicode_val(c): return ord(c)
421,Write a Python function to print the binary equivalent of a number using recursion.,"def print_binary(n): if n>0: print_binary(n//2); print(n%2,end='')"
422,Write a Python script to determine if a string contains any repeated characters.,def has_repeats(s): return len(set(s)) != len(s)
423,Write a Python function to get the maximum of a list without using max().,def max_in_list(lst): m=lst[0]; [m:=x if x>m else m for x in lst]; return m
424,Write a Python script to check if a number is a multiple of both 2 and 6.,def multiple_2_6(n): return n%2==0 and n%6==0
425,Write a Python function to extract only letters from a string with mixed characters.,def only_letters(s): return ''.join(c for c in s if c.isalpha())
426,Write a Python script to count how many words in a sentence start with a capital letter.,def count_caps(s): return sum(1 for w in s.split() if w[0].isupper())
427,Write a Python function to alternate case for each character in a string.,"def alt_case(s): return ''.join(c.upper() if i%2==0 else c.lower() for i,c in enumerate(s))"
428,Write a Python script to print the first n numbers of the harmonic series.,"def harmonic(n): [print(1/i) for i in range(1,n+1)]"
429,Write a Python function to convert each character in a string to its hexadecimal value.,def to_hex(s): return [hex(ord(c)) for c in s]
430,Write a Python script to generate a random uppercase letter.,"import random,string; print(random.choice(string.ascii_uppercase))"
431,Write a Python function to check if a number is within a specific range (inclusive).,"def in_range(n, start, end): return start <= n <= end"
432,Write a Python script to replace the middle character of a string with '*'.,def mask_middle(s): mid=len(s)//2; return s[:mid]+'*'+s[mid+1:]
433,Write a Python function to find the sum of all prime numbers up to a given number.,"def sum_primes(n): return sum(x for x in range(2,n+1) if all(x%i for i in range(2,int(x**0.5)+1)))"
434,Write a Python script to check whether a list is strictly increasing.,def strictly_increasing(lst): return all(lst[i] < lst[i+1] for i in range(len(lst)-1))
435,Write a Python function to return the average of numbers in a list rounded to the nearest integer.,def avg_rounded(lst): return round(sum(lst)/len(lst))
436,"Write a Python script to check whether a character is a letter, digit, or symbol.",def char_type(c): return 'Letter' if c.isalpha() else 'Digit' if c.isdigit() else 'Symbol'
437,Write a Python function to print the reverse of a number without converting it to a string.,def reverse_num(n): r=0; while n: r=r*10+n%10; n//=10; print(r)
438,Write a Python script to print the index of all vowels in a string.,"def vowel_indexes(s): return [i for i,c in enumerate(s) if c.lower() in 'aeiou']"
439,Write a Python function to determine if a year is a century year.,def is_century(year): return year % 100 == 0
440,Write a Python script to convert a number to exponential notation.,def to_exponential(n): return '{:.2e}'.format(n)
441,Write a Python function to rotate a list to the left by n positions.,"def rotate_left(lst,n): return lst[n:] + lst[:n]"
442,Write a Python script to count how many uppercase vowels appear in a string.,def count_upper_vowels(s): return sum(1 for c in s if c in 'AEIOU')
443,Write a Python function to check if a number is a Harshad number.,def is_harshad(n): return n % sum(int(d) for d in str(n)) == 0
444,Write a Python script to get the square root of each element in a list using a loop.,def sqrt_loop(lst): return [x**0.5 for x in lst]
445,Write a Python function to return the character with the highest frequency in a string.,from collections import Counter; def max_freq_char(s): return Counter(s).most_common(1)[0][0]
446,Write a Python script to split a list into chunks of size n.,"def chunk_list(lst,n): return [lst[i:i+n] for i in range(0,len(lst),n)]"
