id,prompt,response
1,Write a Python function to check if a string is a palindrome.,def is_palindrome(s): return s == s[::-1]
2,Write a Python function to calculate the factorial of a number using recursion.,def factorial(n): return 1 if n == 0 else n * factorial(n-1)
3,Write a Python function to compute the Fibonacci sequence up to n terms.,"def fibonacci(n): a,b,res=0,1,[]; [res.append(a) or (a,b := b,a+b) for _ in range(n)]; return res"
4,Write a Python program to remove duplicates from a list.,def remove_duplicates(lst): return list(set(lst))
5,Write a Python script to count the frequency of each character in a string.,from collections import Counter; def char_freq(s): return dict(Counter(s))
6,Write a Python function to check if a number is prime.,"def is_prime(n): return n > 1 and all(n % i for i in range(2, int(n**0.5)+1))"
7,Write a Python program to find the greatest common divisor (GCD) of two numbers.,"from math import gcd; def find_gcd(a,b): return gcd(a,b)"
8,Write a Python function to reverse the words in a sentence.,def reverse_words(sentence): return ' '.join(sentence.split()[::-1])
9,Write a Python script to merge two dictionaries.,"def merge_dicts(d1,d2): return {**d1, **d2}"
10,Write a Python function to calculate the sum of all even numbers in a list.,def sum_evens(lst): return sum(x for x in lst if x % 2 == 0)
11,Write a Python program to find the second largest number in a list.,def second_largest(lst): return sorted(set(lst))[-2]
12,Write a Python function to flatten a nested list.,def flatten(lst): return [i for sub in lst for i in sub]
13,Write a Python script to check if a substring exists within a string.,"def contains_substring(s, sub): return sub in s"
14,Write a Python program to sort a list of tuples by the second element.,"def sort_by_second(tuples): return sorted(tuples, key=lambda x: x[1])"
15,Write a Python function to check if a year is a leap year.,def is_leap(year): return year%4==0 and (year%100!=0 or year%400==0)
16,Write a Python script to get the file size of a given file.,import os; def file_size(path): return os.path.getsize(path)
17,Write a Python function to remove punctuation from a string.,"import string; def remove_punct(s): return s.translate(str.maketrans('', '', string.punctuation))"
18,Write a Python program to read a file line by line and print each line.,def read_file(path): [print(line.strip()) for line in open(path)]
19,Write a Python function to convert a list of strings to a single string separated by commas.,"def join_strings(lst): return ','.join(lst)"
20,Write a Python program to generate a random password of length 10.,"import random,string; def gen_pass(): return ''.join(random.choices(string.ascii_letters+string.digits, k=10))"
21,Write a Python function to find all the unique elements in a list.,def unique_elements(lst): return list(set(lst))
22,Write a Python script to find the most frequent element in a list.,from collections import Counter; def most_frequent(lst): return Counter(lst).most_common(1)[0][0]
23,Write a Python function to compute the average of numbers in a list.,def average(lst): return sum(lst)/len(lst)
24,Write a Python program to check if two strings are anagrams.,"def are_anagrams(a,b): return sorted(a)==sorted(b)"
25,Write a Python function to count the number of vowels in a string.,def count_vowels(s): return sum(1 for c in s.lower() if c in 'aeiou')
26,Write a Python script to get the current date and time.,from datetime import datetime; def now(): return datetime.now()
27,Write a Python function to calculate the area of a triangle given its base and height.,"def triangle_area(b,h): return 0.5 * b * h"
28,Write a Python program to check if a list is sorted in ascending order.,def is_sorted(lst): return lst == sorted(lst)
29,Write a Python function to calculate the square root of a number.,import math; def sqrt(n): return math.sqrt(n)
30,Write a Python script to list all files in a directory.,import os; def list_files(path): return os.listdir(path)
31,Write a Python function to find the longest word in a sentence.,"def longest_word(sentence): return max(sentence.split(), key=len)"
32,Write a Python program to check if a number is an Armstrong number.,def is_armstrong(n): return n == sum(int(d)**len(str(n)) for d in str(n))
33,Write a Python function to capitalize the first letter of each word in a string.,def cap_words(s): return s.title()
34,Write a Python program to create a list of squares from 1 to 10.,"def squares(): return [x**2 for x in range(1,11)]"
35,Write a Python function to calculate the sum of digits of a number.,def sum_digits(n): return sum(int(d) for d in str(n))
36,Write a Python script to replace all spaces in a string with underscores.,"def replace_spaces(s): return s.replace(' ','_')"
37,Write a Python program to convert a binary number to decimal.,"def bin_to_dec(b): return int(b, 2)"
38,Write a Python function to check if all elements in a list are unique.,def all_unique(lst): return len(lst)==len(set(lst))
