id,prompt,response
701,Write a Python function to check if a string contains only ASCII characters.,def is_ascii(s): return all(ord(c) < 128 for c in s)
702,Write a Python script to convert a string of digits into a list of individual numbers.,def str_to_digits(s): return [int(c) for c in s if c.isdigit()]
703,Write a Python function to remove punctuation from a list of strings.,import string; def strip_punct(lst): return [''.join(c for c in s if c not in string.punctuation) for s in lst]
704,Write a Python script to replace every second word in a sentence with 'Python'.,def replace_every_second(s): w=s.split(); w[1::2]=['Python']*(len(w)//2); return ' '.join(w)
705,Write a Python function to count how many times a character appears before another in a string.,"def count_before(s,a,b): return sum(1 for i in range(len(s)) if s[i]==a and b in s[i+1:])"
706,Write a Python script to calculate the length of the longest word in a given list.,def max_word_len(lst): return max(len(w) for w in lst)
707,Write a Python function to return the index of the second occurrence of a character in a string.,"def second_index(s,c): return s.find(c, s.find(c)+1)"
708,Write a Python script to remove digits from a string and count how many were removed.,"def strip_digits(s): new=''.join(c for c in s if not c.isdigit()); return new, len(s)-len(new)"
709,Write a Python function to test if a word is an isogram (no repeating letters).,def is_isogram(w): return len(set(w.lower())) == len(w)
710,Write a Python script to return a list of all strings that contain a specific substring.,"def contains_sub(lst,sub): return [s for s in lst if sub in s]"
711,Write a Python function to convert a list of integers to a space-separated string.,"def ints_to_str(lst): return ' '.join(map(str,lst))"
712,Write a Python script to check whether all strings in a list start with the same letter.,def same_start(lst): return len(set(s[0].lower() for s in lst))==1
713,Write a Python function to determine if a number is an automorphic number.,def is_automorphic(n): return str(n*n).endswith(str(n))
714,Write a Python script to return all words longer than 7 characters in a sentence.,def words_gt_7(s): return [w for w in s.split() if len(w)>7]
715,Write a Python function to alternate between lowercase and uppercase letters in a string.,"def alt_case(s): return ''.join(c.lower() if i%2==0 else c.upper() for i,c in enumerate(s))"
716,Write a Python script to count all words in a list that end with a specific character.,"def count_end_char(lst,c): return sum(1 for w in lst if w.endswith(c))"
717,Write a Python function to shift characters in a string forward by 5 positions.,def shift_by_5(s): return ''.join(chr((ord(c)-97+5)%26+97) if c.isalpha() else c for c in s.lower())
718,Write a Python script to test if a list is circularly identical to another list.,"def is_circular(a,b): return any(a==b[i:]+b[:i] for i in range(len(b)))"
719,Write a Python function to remove words with repeated characters from a list.,def no_repeats(lst): return [w for w in lst if len(set(w))==len(w)]
720,Write a Python script to print a triangle of numbers increasing left to right.,"def num_triangle(n): [print(' '.join(str(j) for j in range(1,i+1))) for i in range(1,n+1)]"
721,Write a Python function to check if a number is equal to the product of its digits.,"def prod_eq_n(n): from math import prod; return n==prod(map(int,str(n)))"
722,Write a Python script to convert a string into a dictionary with counts of vowels and consonants.,"def count_vc(s): v=sum(c.lower() in 'aeiou' for c in s); c=sum(c.isalpha() and c.lower() not in 'aeiou' for c in s); return {'vowels':v,'consonants':c}"
723,Write a Python function to count how many characters in a string are not repeated.,def nonrepeats(s): return sum(1 for c in s if s.count(c)==1)
724,Write a Python script to remove every 3rd element from a list starting at index 2.,"def remove_3rd(lst): return [x for i,x in enumerate(lst) if (i-2)%3!=0 or i<2]"
725,Write a Python function to find all characters that appear in both of two strings.,"def common_chars(a,b): return list(set(a)&set(b))"
726,Write a Python script to repeat each element in a list according to its value.,def repeat_by_val(lst): return [x for x in lst for _ in range(x)]
727,Write a Python function to generate all substrings of a string of length 2 or more.,"def substrings(s): return [s[i:j] for i in range(len(s)) for j in range(i+2,len(s)+1)]"
728,Write a Python script to replace repeated characters in a string with their count.,def replace_dupes(s): from collections import Counter; c=Counter(s); return ''.join(str(c[ch]) if c[ch]>1 else ch for ch in s)
729,Write a Python function to reverse the words in a sentence using a stack approach.,def rev_words_stack(s): return ' '.join(reversed(s.split()))
730,Write a Python script to replace every even-indexed character in a string with '#'.,"def hash_even_idx(s): return ''.join('#' if i%2==0 else c for i,c in enumerate(s))"
731,Write a Python function to return the minimum positive integer not in a given list.,def min_missing(lst): i=1; while i in lst: i+=1; return i
732,Write a Python script to shift the letters of a word cyclically by a given number.,"def shift_cyclic(w,n): return ''.join(chr((ord(c)-97+n)%26+97) if c.isalpha() else c for c in w.lower())"
733,Write a Python function to test whether a number is a palindrome using a for loop.,def is_palindrome(n): s=str(n); return all(s[i]==s[-1-i] for i in range(len(s)//2))
734,Write a Python script to count how many uppercase letters are immediately followed by lowercase ones.,def uc_followed_by_lc(s): return sum(1 for i in range(len(s)-1) if s[i].isupper() and s[i+1].islower())
735,Write a Python function to check if all characters in a string are the same case.,def same_case(s): return s.islower() or s.isupper()
736,Write a Python script to double every digit in a number and return the new number.,def double_digits(n): return int(''.join(str(int(d)*2) for d in str(n)))
737,Write a Python function to return the length of the shortest word in a string.,def shortest_word_len(s): return min(len(w) for w in s.split())
738,Write a Python script to create a mirrored numeric pattern.,"def mirror_pattern(n): [print(''.join(str(i) for i in range(1,r+1))+''.join(str(i) for i in range(r-1,0,-1))) for r in range(1,n+1)]"
739,Write a Python function to check if two numbers are co-prime.,"from math import gcd; def is_coprime(a,b): return gcd(a,b)==1"
740,Write a Python script to remove all duplicate digits from a number.,"def remove_dup_digits(n): return int(''.join(sorted(set(str(n)), key=str(n).index)))"
741,Write a Python function to generate a list of every possible pair from a list.,"def all_pairs(lst): return [(a,b) for i,a in enumerate(lst) for b in lst[i+1:]]"
742,Write a Python script to convert each word in a sentence to its reverse.,def reverse_words(s): return ' '.join(w[::-1] for w in s.split())
743,Write a Python function to find the smallest even number in a tuple.,"def min_even(t): return min((x for x in t if x%2==0), default=None)"
744,Write a Python script to return all elements that appear exactly twice in a list.,"from collections import Counter; def exact_twice(lst): return [x for x,c in Counter(lst).items() if c==2]"
745,Write a Python function to sort a string without changing the case of each character.,"def sort_preserve_case(s): return ''.join(sorted(s,key=lambda x: (x.lower(), not x.islower())))"
746,Write a Python script to repeat the first character of a string n times.,"def repeat_first(s,n): return s[0]*n + s[1:]"
747,Write a Python function to convert a string to a binary representation of its ASCII codes.,"def to_bin_ascii(s): return ' '.join(format(ord(c),'08b') for c in s)"
748,Write a Python script to multiply each digit of a number by 3 and join them as a string.,def triple_digits(n): return ''.join(str(int(d)*3) for d in str(n))
749,Write a Python function to filter out words that contain only vowels.,def no_vowel_words(lst): return [w for w in lst if all(c.lower() not in 'aeiou' for c in w)]
750,Write a Python script to test if one string is a subsequence of another.,"def is_subsequence(s1,s2): it=iter(s2); return all(c in it for c in s1)"
751,Write a Python function to return the sum of digits of the product of two numbers.,"def sum_digits_product(a,b): return sum(int(d) for d in str(a*b))"
752,Write a Python script to convert alternating characters in a string to uppercase starting from index 1.,"def alt_upper(s): return ''.join(c.upper() if i%2==1 else c for i,c in enumerate(s))"
753,Write a Python function to split a string into chunks of equal size.,"def split_chunks(s,n): return [s[i:i+n] for i in range(0,len(s),n)]"
754,Write a Python script to filter numbers in a list that are divisible by the sum of their digits.,def div_by_digit_sum(lst): return [n for n in lst if sum(int(d) for d in str(n)) and n%sum(int(d) for d in str(n))==0]
755,Write a Python function to return all lowercase letters that appear in a string.,def get_lowercase(s): return [c for c in s if c.islower()]
756,Write a Python script to build a string from characters at even positions from a given list of strings.,def even_pos_chars(lst): return ''.join(''.join(s[i] for i in range(len(s)) if i%2==0) for s in lst)
757,Write a Python function to remove the character with the lowest ASCII value from a string.,"def remove_min_ascii(s): return s.replace(min(s), '', 1)"
758,Write a Python script to return the product of all odd numbers in a list.,from math import prod; def prod_odds(lst): return prod(x for x in lst if x%2==1)
759,Write a Python function to detect if a string is a circular rotation of another.,"def is_circular_rotation(a,b): return len(a)==len(b) and b in a+a"
