id,prompt,response
101,Explain why this Python code raises an error: `print(unknown_variable)`,Because 'unknown_variable' is not defined.
102,Write a Python function that takes a list and returns only unique elements while preserving order.,def unique_order(lst): seen=set(); return [x for x in lst if not (x in seen or seen.add(x))]
103,Refactor this nested loop into a list comprehension: `for i in range(5): for j in range(5): result.append(i*j)`,result = [i*j for i in range(5) for j in range(5)]
104,Write Python code to merge two dictionaries recursively.,"def recursive_merge(d1,d2): from collections.abc import Mapping; for k,v in d2.items(): d1[k] = recursive_merge(d1.get(k,{}),v) if isinstance(v,Mapping) else v; return d1"
105,Explain what the `zip()` function does in Python.,It pairs elements from multiple iterables into tuples.
106,"Write a Python function that counts how many times each character appears in a string, case-insensitive.",from collections import Counter; def count_chars(s): return dict(Counter(s.lower()))
107,"Given a list of strings, write Python code to sort them by length.","def sort_by_length(lst): return sorted(lst, key=len)"
108,Write a Python script that reads a text file and prints the 10 most common words.,from collections import Counter; print(Counter(open('file.txt').read().split()).most_common(10))
109,Explain the difference between `deepcopy` and `copy` in Python.,'copy' creates a shallow copy; 'deepcopy' copies nested objects fully.
110,Write Python code that checks if a list is a palindrome.,def is_palindrome(lst): return lst == lst[::-1]
111,Write a Python function that takes a string and returns True if it is a valid email address.,"import re; def valid_email(s): return bool(re.match(r'^[\w.-]+@[\w.-]+\.\w+$', s))"
112,Explain what a generator is in Python and how it differs from a list.,"A generator yields items lazily, lists store all items in memory."
113,Write a Python function that returns the intersection of two lists.,"def intersect(a,b): return list(set(a)&set(b))"
114,Refactor this code to remove the global variable: `counter = 0; def increment(): global counter; counter += 1`,def make_incrementer(): counter=0; def inc(): nonlocal counter; counter+=1; return counter
115,Write Python code to flatten a nested dictionary into a single-level dictionary with keys joined by dots.,"def flatten_dict(d,p=''): items={}; [items.update(flatten_dict(v,f'{p}{k}.')) if isinstance(v,dict) else items.update({f'{p}{k}':v}) for k,v in d.items()]; return items"
116,Write a Python function that takes a list of integers and returns a new list with only the even numbers squared.,def evens_squared(lst): return [x**2 for x in lst if x%2==0]
117,Explain what the `*args` and `**kwargs` parameters do.,"*args collects positional args, **kwargs collects keyword args as dict."
118,Write a Python function that validates if a string contains only ASCII characters.,def is_ascii(s): return all(ord(c) < 128 for c in s)
119,"Given two dates as strings, write Python code to compute the number of days between them.","from datetime import datetime; def date_diff(a,b): return abs((datetime.strptime(a,'%Y-%m-%d') - datetime.strptime(b,'%Y-%m-%d')).days)"
120,Explain why mutable default arguments can be problematic in Python functions.,"They persist across calls, leading to unexpected behavior."
121,Write Python code that converts a list of integers to a comma-separated string.,"def to_csv(lst): return ','.join(map(str,lst))"
122,Write a Python function to detect whether a string is a pangram.,import string; def is_pangram(s): return set(string.ascii_lowercase) <= set(s.lower())
123,Explain the difference between `classmethod` and `staticmethod`.,classmethod gets the class as the first arg; staticmethod gets nothing extra.
124,Write a Python function that takes a dictionary and returns a new dictionary with keys and values swapped.,"def swap_dict(d): return {v:k for k,v in d.items()}"
125,Write Python code that finds the longest common prefix in a list of strings.,def longest_prefix(strs): from os.path import commonprefix; return commonprefix(strs)
126,Explain what a decorator is and provide an example.,"A decorator wraps a function. Example: def deco(f): def wrap(*a,**kw): return f(*a,**kw); return wrap"
127,Write a Python script to download the content of a URL and save it to a file.,"import requests; open('file.txt','wb').write(requests.get('URL').content)"
128,Write Python code that converts a JSON string to a dictionary.,import json; def json_to_dict(s): return json.loads(s)
129,Explain what `__init__` does in a Python class.,It initializes an object’s attributes when the class is instantiated.
130,Write a Python function that sorts a list of dictionaries by a specific key.,"def sort_dicts(lst, key): return sorted(lst, key=lambda x: x[key])"
131,Write Python code to create a namedtuple and use it.,"from collections import namedtuple; Point = namedtuple('Point', 'x y'); p = Point(1,2)"
132,Explain how the `with` statement works for files.,It automatically opens and closes the file safely.
133,Write a Python function to parse a query string into a dictionary.,"from urllib.parse import parse_qs; def parse_query(q): return {k:v[0] for k,v in parse_qs(q).items()}"
