id,prompt,response
601,Write a Python function to capitalize only the last letter of each word in a sentence.,def cap_last_letters(s): return ' '.join(w[:-1]+w[-1].upper() if w else '' for w in s.split())
602,Write a Python script to count how many unique digits are in a number.,def unique_digit_count(n): return len(set(str(n)))
603,Write a Python function to create a dictionary where keys are list items and values are their lengths.,def list_to_len_dict(lst): return {x:len(x) for x in lst}
604,Write a Python script to remove all empty dictionaries from a list.,"def remove_empty_dicts(lst): return [x for x in lst if not (isinstance(x,dict) and not x)]"
605,Write a Python function to count the total number of lowercase and uppercase letters in a string.,"def count_cases(s): return sum(c.islower() for c in s), sum(c.isupper() for c in s)"
606,Write a Python script to remove all strings from a list that are shorter than 3 characters.,def remove_short(lst): return [s for s in lst if len(s) >= 3]
607,Write a Python function to create a string from every second character in a given string.,def every_second_char(s): return s[1::2]
608,Write a Python script to check if two strings are reverses of each other.,"def are_reverses(a,b): return a == b[::-1]"
609,Write a Python function to reverse a tuple.,def reverse_tuple(t): return t[::-1]
610,Write a Python script to calculate the number of days between two given dates.,"from datetime import datetime; def days_between(d1,d2): return abs((datetime.strptime(d1,'%Y-%m-%d') - datetime.strptime(d2,'%Y-%m-%d')).days)"
611,Write a Python function to convert a string into a list of ASCII values and back.,def ascii_convert(s): a=[ord(c) for c in s]; return ''.join(chr(i) for i in a)
612,Write a Python script to get the common elements from two sets.,"def common_set(a,b): return a & b"
613,Write a Python function to compute the square of each odd number in a list.,def square_odds(lst): return [x**2 for x in lst if x%2]
614,Write a Python script to count the frequency of words in a paragraph.,from collections import Counter; def word_freq(p): return Counter(p.split())
615,Write a Python function to test if a number is a perfect cube.,def is_perfect_cube(n): return round(n**(1/3))**3 == n
616,Write a Python script to create a list of multiples of 9 up to 100.,"def mult_9(): return [i for i in range(9,101,9)]"
617,Write a Python function to calculate the sum of all digits across all numbers in a list.,def sum_all_digits(lst): return sum(int(d) for x in lst for d in str(x))
618,Write a Python script to remove all punctuation from a sentence.,"import string; def no_punct(s): return s.translate(str.maketrans('', '', string.punctuation))"
619,Write a Python function to return a sorted version of a string's characters.,def sort_string(s): return ''.join(sorted(s))
620,Write a Python script to check if two lists are disjoint.,"def disjoint_lists(a,b): return set(a).isdisjoint(b)"
621,Write a Python function to replace every vowel in a string with its position index.,"def vowel_index_replace(s): return ''.join(str(i) if c in 'aeiouAEIOU' else c for i,c in enumerate(s))"
622,Write a Python script to double the characters in a string using a loop.,def double_chars(s): out=''; [out:=out+c+c for c in s]; print(out)
623,Write a Python function to count the number of lowercase vowels in each word of a sentence.,def vowel_counts(s): return [sum(1 for c in w if c in 'aeiou') for w in s.split()]
624,Write a Python script to create a dictionary from a string where letters are keys and values are their counts.,from collections import Counter; def str_to_dict(s): return dict(Counter(s))
