id,prompt,response
801,Write a Python function to split a list into sublists of alternating odd and even numbers.,"def split_odd_even(lst): res, curr = [], [lst[0]]; for i in lst[1:]: res.append(curr) if (i%2==0)^(curr[-1]%2==0) else curr.append(i); curr = [i]; res.append(curr); return res"
802,Write a Python script to find the number with the highest sum of digits in a list.,"def max_digit_sum(lst): return max(lst, key=lambda x: sum(int(d) for d in str(x)))"
803,Write a Python function to replace each letter in a string with the one that follows it in the alphabet.,def next_letters(s): return ''.join(chr((ord(c)-96)%26+97) if c.isalpha() else c for c in s.lower())
804,Write a Python script to remove every character from a string that appears more than once.,def remove_duplicates(s): return ''.join(c for c in s if s.count(c)==1)
805,Write a Python function to find the first missing positive number in a list.,def first_missing_positive(lst): s=set(lst); i=1; while i in s: i+=1; return i
806,Write a Python script to extract all strings of length 3 from a list of strings.,def length_3_strings(lst): return [s for s in lst if len(s)==3]
807,Write a Python function to reverse only the vowels in a string.,def reverse_vowels(s): v=[c for c in s if c in 'aeiouAEIOU']; return ''.join(v.pop() if c in 'aeiouAEIOU' else c for c in s)
808,Write a Python script to build a string by concatenating the last character of each word in a sentence.,def last_chars(sentence): return ''.join(w[-1] for w in sentence.split() if w)
809,Write a Python function to determine if a string contains a given number of unique characters.,"def has_n_unique(s,n): return len(set(s))==n"
810,Write a Python script to multiply all digits of a number until a single digit remains.,def reduce_product(n): import math; p=n; while p>9: p=math.prod(int(d) for d in str(p)); return p
811,Write a Python function to rotate a string to the right by k steps.,"def rotate_right(s,k): k=k%len(s); return s[-k:]+s[:-k]"
812,Write a Python script to generate a list of all 3-digit numbers with non-repeating digits.,"def unique_3digit(): return [n for n in range(100,1000) if len(set(str(n)))==3]"
813,Write a Python function to count the number of consonants in a string.,def count_consonants(s): return sum(c.lower() in 'bcdfghjklmnpqrstvwxyz' for c in s)
814,Write a Python script to remove all list items that are not integers.,"def remove_nonints(lst): return [x for x in lst if isinstance(x,int)]"
815,Write a Python function to count how many substrings of length 2 exist in a string.,def count_len2_subs(s): return len(s)-1 if len(s)>1 else 0
816,Write a Python script to remove all words from a sentence that contain numbers.,def remove_num_words(s): return ' '.join(w for w in s.split() if not any(c.isdigit() for c in w))
817,Write a Python function to return the length of the longest palindromic substring.,"def longest_palindrome(s): return max([s[i:j] for i in range(len(s)) for j in range(i+1,len(s)+1) if s[i:j]==s[i:j][::-1]], key=len, default='')"
818,Write a Python script to replace each number in a list with its position in the sorted version.,def rank_positions(lst): sorted_lst=sorted(lst); return [sorted_lst.index(x) for x in lst]
819,Write a Python function to check if all elements in a list are divisible by the same number.,"def same_divisor(lst): from math import gcd; from functools import reduce; g=reduce(gcd,lst); return all(x%g==0 for x in lst)"
820,Write a Python script to find all strings in a list that are anagrams of each other.,def find_anagrams(lst): from collections import defaultdict; d=defaultdict(list); [d[''.join(sorted(w))].append(w) for w in lst]; return [v for v in d.values() if len(v)>1]
821,Write a Python function to return the most common element in a list without using collections.,"def most_common(lst): return max(set(lst), key=lst.count)"
822,Write a Python script to flatten a 2D list into a 1D list using a loop.,def flatten_2d(lst): res=[]; [res.extend(row) for row in lst]; return res
