id,prompt,response
1601,Explain how to check if a string contains only letters.,Use `str.isalpha()` to check if the string contains only letters.
1602,Explain how to find all the words in a sentence that are palindromes.,Split sentence and filter words where `word == word[::-1]`.
1603,Explain how to replace the last vowel in a word with an asterisk.,Find the last vowel using reverse loop and replace it with `*`.
1604,Explain how to convert a number into words digit by digit.,Map each digit to its word using a dictionary and join them.
1605,Explain how to test if a number is divisible by the sum of its digits.,"Sum digits with `sum(map(int, str(n)))` and check divisibility."
1606,Explain how to extract words from a sentence that contain at least three vowels.,Split sentence and count vowels in each word; keep if `>= 3`.
1607,Explain how to check if two lists contain the same elements in any order.,"Sort both lists and compare, or use `collections.Counter`."
1608,Explain how to split a string into three equal parts.,"Check `len(s) % 3 == 0`, then slice into 3 equal parts."
1609,Explain how to return the second most common word in a sentence.,"Use `collections.Counter`, get most common[1][0]."
1610,Explain how to rotate a list left by a given number of steps.,Use slicing: `lst[n:] + lst[:n]`.
1611,Explain how to find the sum of characters that are the same in two strings of equal length.,"Use `sum(a == b for a, b in zip(s1, s2))`."
1612,Explain how to check if a string contains a consecutive pair of letters.,Check pairs using `ord(s[i+1]) == ord(s[i]) + 1` in loop.
1613,Explain how to reverse only the digits in a string.,"Extract digits, reverse them, and place back into string."
1614,Explain how to check if a sentence contains duplicate words.,Split and use `len(set(words)) != len(words)`.
1615,Explain how to remove the longest word from a sentence.,"Find max with `key=len`, remove it, and rejoin sentence."
1616,Explain how to sort a list of strings based on the number of vowels they contain.,Sort using `key=lambda w: sum(c in 'aeiouAEIOU' for c in w)`.
1617,Explain how to get the first non-repeating character in a string.,Use `collections.OrderedDict` to count and return first with count 1.
1618,Explain how to count the number of alphabetic characters in a string.,Use `sum(c.isalpha() for c in s)`.
1619,Explain how to extract all substrings of length 3 from a given string.,Use list comprehension with `s[i:i+3]` for all valid `i`.
1620,Explain how to capitalize only the middle word of a three-word sentence.,Split sentence and apply `capitalize()` to index 1.
1621,Explain how to replace punctuation in a sentence with the word 'dot'.,"Replace punctuation using `re.sub(r'[^\w\s]', ' dot ', s)`."
1622,Explain how to group a list of numbers by even and odd.,"Group using `{'even': [...], 'odd': [...]}` with mod check."
