id,prompt,response
201,Write a Python function to convert Celsius to Fahrenheit.,def c_to_f(c): return (c * 9/5) + 32
202,"Write a Python script to check if a number is positive, negative, or zero.",def check_sign(n): return 'Positive' if n>0 else 'Negative' if n<0 else 'Zero'
203,Write a Python function to compute the cube of a number.,def cube(n): return n ** 3
204,Write a Python program to count the number of digits in an integer.,def count_digits(n): return len(str(abs(n)))
205,Write a Python function to determine if a character is a vowel or consonant.,def is_vowel(c): return c.lower() in 'aeiou'
206,Write a Python script to print the ASCII value of a character.,def ascii_value(c): return ord(c)
207,Write a Python function to swap two numbers using a temporary variable.,"def swap_temp(a,b): t=a; a=b; b=t; return a,b"
208,Write a Python script to swap two numbers without using a temporary variable.,"def swap_no_temp(a,b): a,b = b,a; return a,b"
209,Write a Python function to calculate the circumference of a circle.,import math; def circumference(r): return 2 * math.pi * r
210,Write a Python program to determine if a character is uppercase or lowercase.,def char_case(c): return 'Upper' if c.isupper() else 'Lower'
211,Write a Python function to find the sum of natural numbers below a given number.,def sum_natural(n): return sum(range(n))
212,Write a Python script to generate multiplication tables from 1 to 5.,"[print(f'{i} x {j} = {i*j}') for i in range(1,6) for j in range(1,11)]"
213,Write a Python function to print the first 10 natural numbers using a while loop.,def print_natural(): i=1; while i<=10: print(i); i+=1
214,Write a Python program to display numbers from 1 to 100 except multiples of 3.,"[print(i) for i in range(1,101) if i%3 != 0]"
215,Write a Python script to reverse a number.,def reverse_number(n): return int(str(n)[::-1])
216,Write a Python function to convert a number to a list of its digits.,def num_to_digits(n): return [int(d) for d in str(n)]
217,Write a Python program to calculate simple interest.,"def simple_interest(p,r,t): return (p*r*t)/100"
218,Write a Python script to print all ASCII characters with their values.,"[print(chr(i), i) for i in range(128)]"
219,Write a Python function to determine if a character is a digit.,def is_digit(c): return c.isdigit()
220,Write a Python script to print a pyramid pattern of stars.,"for i in range(1,6): print(' '*(5-i)+'*'*i)"
221,Write a Python function to print all even numbers from 1 to 50.,"def print_evens(): [print(i) for i in range(2,51,2)]"
222,Write a Python script to count down from 10 to 1.,"for i in range(10,0,-1): print(i)"
223,Write a Python function to check if the length of a string is even or odd.,def len_even_or_odd(s): return 'Even' if len(s)%2==0 else 'Odd'
224,Write a Python program to generate a random integer between 1 and 100.,"import random; print(random.randint(1,100))"
225,Write a Python function to round a number up to the nearest integer.,import math; def round_up(n): return math.ceil(n)
226,Write a Python script to print the current working directory.,import os; print(os.getcwd())
227,Write a Python function to remove the last character from a string.,def remove_last(s): return s[:-1]
228,Write a Python program to print the first and last element of a list.,"def print_first_last(lst): print(lst[0], lst[-1])"
229,Write a Python function to check if a number is within a given range.,"def in_range(n, start, end): return start <= n <= end"
230,Write a Python script to convert a list of floats to integers.,"def float_to_int(lst): return list(map(int, lst))"
231,Write a Python function to find the smallest number in a list.,def min_in_list(lst): return min(lst)
232,Write a Python script to convert minutes into hours and minutes.,"def min_to_hr_min(m): return divmod(m, 60)"
233,Write a Python function to print a square of '#' characters.,def print_square(n): [print('#'*n) for _ in range(n)]
234,Write a Python program to find the ASCII value of each character in a string.,"def ascii_each(s): return [(c, ord(c)) for c in s]"
235,Write a Python function to reverse a list in place.,def reverse_in_place(lst): lst.reverse(); return lst
236,Write a Python script to print the first 20 odd numbers.,"[print(i) for i in range(1,40,2)]"
237,Write a Python function to check if a number is divisible by both 3 and 5.,def div_3_5(n): return n%3==0 and n%5==0
238,Write a Python program to create a list of the first 10 multiples of 7.,"def mult_7(): return [7*i for i in range(1,11)]"
239,Write a Python script to split a list into two halves.,"def split_list(lst): mid=len(lst)//2; return lst[:mid], lst[mid:]"
240,Write a Python function to remove a specific character from a string.,"def remove_char(s,c): return s.replace(c,'')"
