id,prompt,response
1701,Explain how to replace every letter in a string with the next letter in the alphabet.,Use `''.join(chr((ord(c)-97+1)%26+97) if c.isalpha() else c for c in s.lower())`.
1702,Explain how to find the difference between the sums of even and odd digits in a number.,"Sum even digits, sum odd digits, subtract."
1703,Explain how to build a string that consists of the initials of each sentence in a paragraph.,"Split sentences, take first letter of each."
1704,Explain how to detect if a sentence has more vowels than consonants.,"Count vowels and consonants, compare totals."
1705,Explain how to remove all non-alphabetic characters from a string.,"Use regex: `re.sub('[^A-Za-z]', '', s)`."
1706,Explain how to find the longest word in a sentence that starts and ends with the same letter.,"Check first==last for each word, return longest."
1707,Explain how to identify if a word uses only letters from the first half of the alphabet.,Check if all `c` in word are <= 'm'.
1708,Explain how to create a new string with characters from odd indices only.,Use slicing: `s[1::2]`.
1709,Explain how to count how many times each digit appears in a number.,Convert to string and count each digit using `Counter`.
1710,Explain how to determine if a list has more positive or negative numbers.,"Count positives and negatives, compare."
1711,Explain how to check if a string contains all five vowels.,Check if all vowels are in `set(s.lower())`.
1712,Explain how to create a dictionary mapping each letter in a word to its frequency.,Use `collections.Counter(word)`.
1713,Explain how to count the number of unique digits in a list of numbers.,"Flatten digits, convert to set, count."
1714,Explain how to reverse a list of strings while also reversing each individual string.,"Reverse list, then reverse each string."
1715,Explain how to print each character in a string on a separate line with its index.,"Loop with `enumerate`, print index and char."
1716,Explain how to find the character in a string with the highest Unicode value.,Use `max(s)`.
1717,Explain how to test whether two lists are permutations of each other.,Compare `sorted(list1) == sorted(list2)`.
1718,Explain how to count how many times a specific character appears across multiple strings.,Sum `s.count(char)` for each string `s`.
1719,Explain how to create a pyramid pattern of stars based on a given height.,Use nested loops to print increasing stars.
1720,Explain how to check if the number of uppercase and lowercase letters in a string is equal.,"Count upper and lower letters, compare."
1721,Explain how to detect whether a word contains letters in reverse alphabetical order.,"Check if `list(word) == sorted(word, reverse=True)`."
1722,Explain how to sum all numbers in a list that are divisible by 7.,Sum `n for n in list if n % 7 == 0`.
1723,Explain how to find all palindromic substrings in a given string.,Check all substrings `s[i:j] == s[i:j][::-1]`.
1724,Explain how to check if a number is a power of 2 without using math libraries.,"Keep dividing by 2, check remainder."
1725,Explain how to return the longest sequence of identical characters in a string.,Track max length of consecutive repeating chars.
1726,Explain how to remove the nth character from a string.,Use slicing: `s[:n] + s[n+1:]`.
1727,Explain how to split a string into characters and return them as a dictionary with counts.,Use `collections.Counter(list(s))`.
1728,Explain how to detect whether a list is strictly decreasing.,"Check `all(a > b for a, b in zip(lst, lst[1:]))`."
1729,Explain how to capitalize all the words that start with vowels in a sentence.,Capitalize words starting with vowels.
1730,Explain how to round a float to the nearest integer without using `round()`.,Add 0.5 and convert to int.
1731,Explain how to reverse the letters of each word but keep the word order intact.,"Split, reverse each word, join."
1732,Explain how to check if a string ends with a digit.,Check `s[-1].isdigit()`.
