id,prompt,response
1001,Write a Python function to return True if all words in a sentence have unique lengths.,def unique_word_lengths(s): l=[len(w) for w in s.split()]; return len(set(l))==len(l)
1002,Write a Python script to find the longest substring with alternating vowels and consonants.,"def longest_alt_vowel_consonant(s): import re; return max(re.findall(r'(?i)(?:(?:[aeiou][^aeiou])|(?:[^aeiou][aeiou]))+', s), key=len, default='')"
1003,Write a Python function to return the average of ASCII values in a string.,"def avg_ascii(s): return sum(map(ord,s))/len(s) if s else 0"
1004,Write a Python script to filter out all words in a list that contain repeated characters.,def no_repeats(lst): return [w for w in lst if len(set(w))==len(w)]
1005,Write a Python function to remove the first and last vowel in a string.,"def remove_first_last_vowel(s): v=[i for i,c in enumerate(s) if c.lower() in 'aeiou']; return s[:v[0]]+s[v[0]+1:v[-1]]+s[v[-1]+1:] if len(v)>=2 else s"
1006,Write a Python script to reverse every word in a sentence that contains a digit.,def reverse_words_with_digit(s): return ' '.join(w[::-1] if any(c.isdigit() for c in w) else w for w in s.split())
1007,Write a Python function to count how many times each vowel appears in alphabetical order.,def vowel_order_count(s): return [s.lower().count(v) for v in 'aeiou']
1008,Write a Python script to convert every third letter in a sentence to uppercase.,"def every_third_upper(s): return ''.join(c.upper() if i%3==2 else c for i,c in enumerate(s))"
1009,Write a Python function to return a list of integers that are palindromes when doubled.,def palindromes_when_doubled(lst): return [x for x in lst if str(x*2)==str(x*2)[::-1]]
1010,Write a Python script to identify all positions in a list where an item is greater than its neighbors.,"def local_maxima(lst): return [i for i in range(1,len(lst)-1) if lst[i]>lst[i-1] and lst[i]>lst[i+1]]"
1011,Write a Python function to replace each digit in a number with its cube.,def cube_digits(n): return int(''.join(str(int(d)**3) for d in str(n)))
1012,Write a Python script to extract all characters in a string that are not letters or numbers.,def non_alnum(s): return [c for c in s if not c.isalnum()]
1013,Write a Python function to return True if a word contains at least two different vowels.,def two_vowels(w): return len(set(c for c in w.lower() if c in 'aeiou'))>=2
1014,Write a Python script to remove every consonant that appears more than once in a string.,def remove_repeated_consonants(s): return ''.join(c for c in s if c.lower() in 'aeiou' or s.lower().count(c)==1)
1015,Write a Python function to sort a list of words by the number of distinct characters.,"def sort_by_unique_chars(lst): return sorted(lst, key=lambda w: len(set(w)))"
1016,Write a Python script to convert each word in a sentence to lowercase and reverse it.,def reverse_lower_words(s): return ' '.join(w.lower()[::-1] for w in s.split())
1017,Write a Python function to calculate the difference between the sum of vowels and consonants in a word.,def vowel_consonant_diff(w): v=sum(1 for c in w if c.lower() in 'aeiou'); c=sum(1 for c in w if c.isalpha() and c.lower() not in 'aeiou'); return v-c
1018,Write a Python script to replace every letter in a string with the previous letter in the alphabet.,def prev_letter(s): return ''.join(chr(ord(c)-1) if c.isalpha() else c for c in s)
1019,Write a Python function to return all strings in a list that are made entirely of vowels.,def only_vowel_words(lst): return [w for w in lst if all(c.lower() in 'aeiou' for c in w)]
1020,Write a Python script to split a number into two halves and reverse both.,def reverse_halves(n): s=str(n); h=len(s)//2; return s[:h][::-1]+s[h:][::-1]
1021,Write a Python function to return a string of only the characters at positions that are multiples of 3.,"def chars_multiple_of_3(s): return ''.join(c for i,c in enumerate(s) if i%3==0)"
1022,Write a Python script to check whether the first letter of every word in a sentence is a vowel.,def all_words_start_vowel(s): return all(w[0].lower() in 'aeiou' for w in s.split())
1023,Write a Python function to double every letter in a string except vowels.,def double_except_vowels(s): return ''.join(c*2 if c.lower() not in 'aeiou' else c for c in s)
1024,Write a Python script to print all numbers from 1 to 100 that are divisible by 7 or 11.,"def div_7_or_11(): print([x for x in range(1,101) if x%7==0 or x%11==0])"
1025,Write a Python function to reverse a string but keep all numbers in the same positions.,"def reverse_string_static_digits(s): digits=[(i,c) for i,c in enumerate(s) if c.isdigit()]; letters=[c for c in s if not c.isdigit()][::-1]; for i,c in digits: letters.insert(i,c); return ''.join(letters)"
1026,Write a Python script to find the shortest word in a sentence containing at least two vowels.,"def shortest_with_2vowels(s): return min((w for w in s.split() if sum(c in 'aeiou' for c in w)>=2), key=len, default='')"
1027,Write a Python function to return the count of each digit in a number using a dictionary.,def digit_count_dict(n): from collections import Counter; return dict(Counter(str(n)))
1028,Write a Python script to test whether a sentence contains any repeated words.,def has_repeated_words(s): w=s.lower().split(); return len(w)!=len(set(w))
1029,Write a Python function to capitalize the second and fourth character of each word in a string.,"def cap_2nd_4th(s): return ' '.join(''.join(c.upper() if i in [1,3] else c for i,c in enumerate(w)) for w in s.split())"
1030,Write a Python script to extract all prime digits from a number.,"def prime_digits(n): return [int(d) for d in str(n) if int(d) in [2,3,5,7]]"
1031,Write a Python function to remove characters from a string that appear in another string.,"def remove_from_other(a,b): return ''.join(c for c in a if c not in b)"
1032,Write a Python script to print a staircase where each step is made of a repeated character.,"def print_staircase(c, h): [print(c*(i+1)) for i in range(h)]"
1033,Write a Python function to check if the first half of a string is the reverse of the second half.,def is_mirror_half(s): l=len(s)//2; return s[:l]==s[-1:-l-1:-1]
1034,Write a Python script to replace the last character of each word in a string with '!'.,def bangify_last_letter(s): return ' '.join(w[:-1]+'!' if w else '' for w in s.split())
1035,Write a Python function to return True if a string contains the word 'Python' regardless of case.,def contains_python(s): return 'python' in s.lower()
1036,Write a Python script to return the total number of characters between the first and last vowel in a word.,"def chars_between_vowels(w): v=[i for i,c in enumerate(w) if c.lower() in 'aeiou']; return v[-1]-v[0]-1 if len(v)>=2 else 0"
1037,Write a Python function to return the shortest string in a list containing all five vowels.,"def shortest_with_all_vowels(lst): return min((w for w in lst if all(v in w for v in 'aeiou')), key=len, default='')"
1038,Write a Python script to alternate letters in a string between uppercase and lowercase starting from the end.,"def alt_from_end(s): return ''.join(c.upper() if i%2 else c.lower() for i,c in enumerate(reversed(s)))[::-1]"
1039,Write a Python function to return True if a list of numbers alternates between even and odd.,"def alt_even_odd(lst): return all((x%2)!=(lst[i+1]%2) for i,x in enumerate(lst[:-1]))"
1040,Write a Python script to capitalize every other word in a sentence starting from the end.,def cap_every_other_from_end(s): w=s.split(); return ' '.join(w[::-1][::2][::-1] + [w[::-1][1::2][::-1]]).strip()
1041,Write a Python function to create a new string by interleaving two strings character by character.,"def interleave_strings(a,b): return ''.join(x+y for x,y in zip(a,b)) + a[len(b):] + b[len(a):]"
