id,prompt,response
1201,Explain how to use the `type()` function to check the data type of a variable.,"Use `type(variable)` to see what data type you're working with. It's Python’s way of saying, 'Know thy variable before you mess it up.'"
1202,Explain why using meaningful variable names is important in Python.,Meaningful variable names make your code readable and less like a cryptic prophecy. `total_price` > `tp`. Future you will thank you.
1203,Explain the difference between `while` and `for` loops in Python.,`for` loops iterate over a sequence. `while` loops keep going until a condition breaks. One’s structured; the other’s chaos in a loop.
1204,Explain how infinite loops happen in Python and how to avoid them.,Infinite loops happen when the exit condition never becomes False. Fix it or Python will loop like it’s Groundhog Day forever.
1205,Explain how to use `elif` to create multiple conditions in a program.,"Use `elif` when you’ve got multiple paths. Like: `if`, `elif`, `elif`, then `else` as a safety net for indecisive logic."
1206,Explain how the `else` clause works in both `if` statements and loops.,"In `if` statements, `else` runs if nothing above is true. In loops, `else` runs if the loop wasn't broken. It’s the 'bonus round.'"
1207,Explain the importance of indentation consistency in Python code.,Indentation isn’t cosmetic in Python — it defines code blocks. Inconsistent indentation = Python throws a tantrum (IndentationError).
1208,Explain how the `+=` operator works in Python.,"`+=` adds and assigns in one go: `x += 5` is shorthand for `x = x + 5`. Less typing, more progress, fewer carpal tunnel injuries."
1209,Explain what `NoneType` means and when it might appear.,`NoneType` is the type of `None`. It appears when a function returns nothing or when you've ghosted a variable by not assigning it.
1210,Explain how to swap values between two variables in Python.,"Use `a, b = b, a`. Python makes value swapping a one-liner. No need for a temp variable. Elegant, unlike your sleep schedule."
1211,Explain how to create a string with multiple lines using triple quotes.,"Use triple quotes like `'''` or `\'\'\'` to span strings over multiple lines. Great for poems, long messages, or passive-aggressive notes."
1212,Explain how to use comments to document your code in Python.,Use `#` to write comments. They’re ignored by Python but adored by future humans trying to decode your spaghetti logic.
1213,Explain how to convert a float to an integer and vice versa.,Convert float to int: `int(3.7)` → 3. Convert int to float: `float(3)` → 3.0. Python handles conversions better than some diplomats.
1214,Explain what the modulo operator `%` does and when to use it.,"The `%` operator returns the remainder. `7 % 3` → 1. Use it for checking divisibility, wrapping around, or acting fancy in interviews."
1215,Explain how `bool()` behaves with different data types in Python.,`bool()` turns stuff into True or False. `bool(0)` → False. `bool('hello')` → True. It’s Python’s gut-check for truthiness.
