id,response
801,"def split_odd_even(lst): res, curr = [], [lst[0]]; for i in lst[1:]: res.append(curr) if (i%2==0)^(curr[-1]%2==0) else curr.append(i); curr = [i]; res.append(curr); return res"
802,"def max_digit_sum(lst): return max(lst, key=lambda x: sum(int(d) for d in str(x)))"
803,"def next_letters(s): return ''.join(chr((ord(c)-96)%26+97) if c.isalpha() else c for c in s.lower())"
804,"def remove_duplicates(s): return ''.join(c for c in s if s.count(c)==1)"
805,"def first_missing_positive(lst): s=set(lst); i=1; while i in s: i+=1; return i"
806,"def length_3_strings(lst): return [s for s in lst if len(s)==3]"
807,"def reverse_vowels(s): v=[c for c in s if c in 'aeiouAEIOU']; return ''.join(v.pop() if c in 'aeiouAEIOU' else c for c in s)"
808,"def last_chars(sentence): return ''.join(w[-1] for w in sentence.split() if w)"
809,"def has_n_unique(s,n): return len(set(s))==n"
810,"def reduce_product(n): import math; p=n; while p>9: p=math.prod(int(d) for d in str(p)); return p"
811,"def rotate_right(s,k): k=k%len(s); return s[-k:]+s[:-k]"
812,"def unique_3digit(): return [n for n in range(100,1000) if len(set(str(n)))==3]"
813,"def count_consonants(s): return sum(c.lower() in 'bcdfghjklmnpqrstvwxyz' for c in s)"
814,"def remove_nonints(lst): return [x for x in lst if isinstance(x,int)]"
815,"def count_len2_subs(s): return len(s)-1 if len(s)>1 else 0"
816,"def remove_num_words(s): return ' '.join(w for w in s.split() if not any(c.isdigit() for c in w))"
817,"def longest_palindrome(s): return max([s[i:j] for i in range(len(s)) for j in range(i+1,len(s)+1) if s[i:j]==s[i:j][::-1]], key=len, default='')"
818,"def rank_positions(lst): sorted_lst=sorted(lst); return [sorted_lst.index(x) for x in lst]"
819,"def same_divisor(lst): from math import gcd; from functools import reduce; g=reduce(gcd,lst); return all(x%g==0 for x in lst)"
820,"def find_anagrams(lst): from collections import defaultdict; d=defaultdict(list); [d[''.join(sorted(w))].append(w) for w in lst]; return [v for v in d.values() if len(v)>1]"
821,"def most_common(lst): return max(set(lst), key=lst.count)"
822,"def flatten_2d(lst): res=[]; [res.extend(row) for row in lst]; return res"
823,"def remove_vowels_except_first(s): seen=False; return ''.join(c if not seen and c.lower() in 'aeiou' else (c if c.lower() not in 'aeiou' else '') for c in s)"
824,"def insert_between(s,char): return char.join(s)"
825,"def is_reverse_binary(n): return n==int(bin(n)[2:][::-1],2)"
