id,response
101,"Because 'unknown_variable' is not defined."
102,"def unique_order(lst): seen=set(); return [x for x in lst if not (x in seen or seen.add(x))]"
103,"result = [i*j for i in range(5) for j in range(5)]"
104,"def recursive_merge(d1,d2): from collections.abc import Mapping; for k,v in d2.items(): d1[k] = recursive_merge(d1.get(k,{}),v) if isinstance(v,Mapping) else v; return d1"
105,"It pairs elements from multiple iterables into tuples."
106,"from collections import Counter; def count_chars(s): return dict(Counter(s.lower()))"
107,"def sort_by_length(lst): return sorted(lst, key=len)"
108,"from collections import Counter; print(Counter(open('file.txt').read().split()).most_common(10))"
109,"'copy' creates a shallow copy; 'deepcopy' copies nested objects fully."
110,"def is_palindrome(lst): return lst == lst[::-1]"
111,"import re; def valid_email(s): return bool(re.match(r'^[\w.-]+@[\w.-]+\.\w+$', s))"
112,"A generator yields items lazily, lists store all items in memory."
113,"def intersect(a,b): return list(set(a)&set(b))"
114,"def make_incrementer(): counter=0; def inc(): nonlocal counter; counter+=1; return counter"
115,"def flatten_dict(d,p=''): items={}; [items.update(flatten_dict(v,f'{p}{k}.')) if isinstance(v,dict) else items.update({f'{p}{k}':v}) for k,v in d.items()]; return items"
116,"def evens_squared(lst): return [x**2 for x in lst if x%2==0]"
117,"*args collects positional args, **kwargs collects keyword args as dict."
118,"def is_ascii(s): return all(ord(c) < 128 for c in s)"
119,"from datetime import datetime; def date_diff(a,b): return abs((datetime.strptime(a,'%Y-%m-%d') - datetime.strptime(b,'%Y-%m-%d')).days)"
120,"They persist across calls, leading to unexpected behavior."
121,"def to_csv(lst): return ','.join(map(str,lst))"
122,"import string; def is_pangram(s): return set(string.ascii_lowercase) <= set(s.lower())"
123,"classmethod gets the class as the first arg; staticmethod gets nothing extra."
124,"def swap_dict(d): return {v:k for k,v in d.items()}"
125,"def longest_prefix(strs): from os.path import commonprefix; return commonprefix(strs)"
126,"A decorator wraps a function. Example: def deco(f): def wrap(*a,**kw): return f(*a,**kw); return wrap"
127,"import requests; open('file.txt','wb').write(requests.get('URL').content)"
128,"import json; def json_to_dict(s): return json.loads(s)"
129,"It initializes an object’s attributes when the class is instantiated."
130,"def sort_dicts(lst, key): return sorted(lst, key=lambda x: x[key])"
131,"from collections import namedtuple; Point = namedtuple('Point', 'x y'); p = Point(1,2)"
132,"It automatically opens and closes the file safely."
133,"from urllib.parse import parse_qs; def parse_query(q): return {k:v[0] for k,v in parse_qs(q).items()}"
134,"import statistics as s; def stats(lst): return s.mean(lst), s.median(lst), s.mode(lst)"
135,"__str__ is for user-friendly string, __repr__ is for debugging."
136,"def rotate(lst, n): return lst[-n:] + lst[:-n]"
137,"import re; def valid_ipv4(s): return bool(re.match(r'^(\d{1,3}\.){3}\d{1,3}$', s))"
138,"'is' checks identity, '==' checks equality."
139,"def remove_falsy(lst): return [x for x in lst if x]"
140,"def chunk(lst, size): return [lst[i:i+size] for i in range(0,len(lst),size)]"
141,"A lambda is an anonymous function: e.g. square = lambda x: x*x"
142,"import csv; [print(r) for r in csv.DictReader(open('file.csv')) if r['col'] == 'value']"
143,"def reverse_dict(d): return {v:k for k,v in d.items()}"
144,"It adds an index to items in a loop."
145,"def is_hex(s): return all(c in '0123456789abcdefABCDEF' for c in s)"
146,"def merge_sorted(a,b): return sorted(a+b)"
147,"If it walks like a duck and quacks like a duck, it’s a duck — behavior > type."
148,"import os; [os.rename(f, f.replace('.txt','_backup.txt')) for f in os.listdir() if f.endswith('.txt')]"
149,"import re; def strip_html(s): return re.sub(r'<[^>]*>','',s)"
150,"def substrings(s): return [s[i:j] for i in range(len(s)) for j in range(i+1,len(s)+1)]"
151,"GIL ensures only one thread executes Python bytecode at a time, limiting true parallelism."
152,"def lis(seq): from bisect import bisect_left; sub=[]; [sub.append(x) if not sub or x>sub[-1] else sub.__setitem__(bisect_left(sub,x),x) for x in seq]; return sub"
153,"import shutil; shutil.make_archive('archive','zip','folder_path')"
