id,response
701,"def is_ascii(s): return all(ord(c) < 128 for c in s)"
702,"def str_to_digits(s): return [int(c) for c in s if c.isdigit()]"
703,"import string; def strip_punct(lst): return [''.join(c for c in s if c not in string.punctuation) for s in lst]"
704,"def replace_every_second(s): w=s.split(); w[1::2]=['Python']*(len(w)//2); return ' '.join(w)"
705,"def count_before(s,a,b): return sum(1 for i in range(len(s)) if s[i]==a and b in s[i+1:])"
706,"def max_word_len(lst): return max(len(w) for w in lst)"
707,"def second_index(s,c): return s.find(c, s.find(c)+1)"
708,"def strip_digits(s): new=''.join(c for c in s if not c.isdigit()); return new, len(s)-len(new)"
709,"def is_isogram(w): return len(set(w.lower())) == len(w)"
710,"def contains_sub(lst,sub): return [s for s in lst if sub in s]"
711,"def ints_to_str(lst): return ' '.join(map(str,lst))"
712,"def same_start(lst): return len(set(s[0].lower() for s in lst))==1"
713,"def is_automorphic(n): return str(n*n).endswith(str(n))"
714,"def words_gt_7(s): return [w for w in s.split() if len(w)>7]"
715,"def alt_case(s): return ''.join(c.lower() if i%2==0 else c.upper() for i,c in enumerate(s))"
716,"def count_end_char(lst,c): return sum(1 for w in lst if w.endswith(c))"
717,"def shift_by_5(s): return ''.join(chr((ord(c)-97+5)%26+97) if c.isalpha() else c for c in s.lower())"
718,"def is_circular(a,b): return any(a==b[i:]+b[:i] for i in range(len(b)))"
719,"def no_repeats(lst): return [w for w in lst if len(set(w))==len(w)]"
720,"def num_triangle(n): [print(' '.join(str(j) for j in range(1,i+1))) for i in range(1,n+1)]"
721,"def prod_eq_n(n): from math import prod; return n==prod(map(int,str(n)))"
722,"def count_vc(s): v=sum(c.lower() in 'aeiou' for c in s); c=sum(c.isalpha() and c.lower() not in 'aeiou' for c in s); return {'vowels':v,'consonants':c}"
723,"def nonrepeats(s): return sum(1 for c in s if s.count(c)==1)"
724,"def remove_3rd(lst): return [x for i,x in enumerate(lst) if (i-2)%3!=0 or i<2]"
725,"def common_chars(a,b): return list(set(a)&set(b))"
726,"def repeat_by_val(lst): return [x for x in lst for _ in range(x)]"
727,"def substrings(s): return [s[i:j] for i in range(len(s)) for j in range(i+2,len(s)+1)]"
728,"def replace_dupes(s): from collections import Counter; c=Counter(s); return ''.join(str(c[ch]) if c[ch]>1 else ch for ch in s)"
729,"def rev_words_stack(s): return ' '.join(reversed(s.split()))"
730,"def hash_even_idx(s): return ''.join('#' if i%2==0 else c for i,c in enumerate(s))"
731,"def min_missing(lst): i=1; while i in lst: i+=1; return i"
732,"def shift_cyclic(w,n): return ''.join(chr((ord(c)-97+n)%26+97) if c.isalpha() else c for c in w.lower())"
733,"def is_palindrome(n): s=str(n); return all(s[i]==s[-1-i] for i in range(len(s)//2))"
734,"def uc_followed_by_lc(s): return sum(1 for i in range(len(s)-1) if s[i].isupper() and s[i+1].islower())"
735,"def same_case(s): return s.islower() or s.isupper()"
736,"def double_digits(n): return int(''.join(str(int(d)*2) for d in str(n)))"
737,"def shortest_word_len(s): return min(len(w) for w in s.split())"
